CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle
8010520-11,Boots,Ankle,1in - 1 3/4in,Padded,Zipper,Women,Leather,Capped Toe;Round Toe;Closed Toe
8015881-103,Boots,Ankle,2in - 2 3/4in,Padded,Zipper,Women,Synthetic,Almond;Closed Toe
7909670-331950,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Synthetic,
8013628-585,Sandals,Flat,3in - 3 3/4in,Padded,Slip-On;Sling Back,Women,Canvas;Cotton,Open Toe
7527824-1413,Shoes,Flats,1in - 1 3/4in,Latex Lined;Moisture Wicking;Padded,Elastic Gore,Women,Leather,Round Toe;Closed Toe
7965366-350823,Shoes,Heels,5in & over,Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
8034469-2971,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Leather;Suede,
7742403-51,Boots,Ankle,,EVA;Removable,Lace up,Men,Leather;Nubuck;Rubber,Round Toe
7979757-106,Shoes,Heels,2in - 2 3/4in,Leather;Padded,Slip-On,Women,Suede,Pointed Toe;Closed Toe
8014990-20,Boots,Ankle,3in - 3 3/4in,,Pull-on,Women,Faux Leather,Round Toe;Closed Toe
7784134-286350,Shoes,Flats,Under 1in,Leather;Padded,Hook and Loop,Girls,Leather,Square Toe
8003809-6,Boots,Ankle,1in - 1 3/4in,Moisture Wicking,Zipper,Men,Leather;Suede,
8058425-21,Shoes,Flats,Under 1in,Leather,Buckle;Ankle Strap,Women,Leather;Nubuck,Round Toe;Closed Toe
8023681-8,Shoes,Sneakers and Athletic Shoes,Flat,EVA,Lace up,Men,Canvas;Lace,Round Toe;Closed Toe
7381295-247264,Sandals,Flat,1in - 1 3/4in,Moisture Wicking;Padded;Removable,,Women,Leather,Open Toe
7438340-328,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Women,Leather,Almond;Pointed Toe;Closed Toe
8020287-18248,Shoes,Heels,3in - 3 3/4in,Padded;Synthetic Leather,Slip-On,Women,Faux Leather;Synthetic,Pointed Toe
7654674-3,Boots,Mid-Calf,1in - 1 3/4in,EVA;Removable,Lace up,Women,Leather;Rubber;Suede,
7972106-353625,Shoes,Oxfords,1in - 1 3/4in,Leather;Padded,Lace up,Men,Leather,Medallion;Wingtip
7977462-80,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Leather;Nubuck;Suede,
7983900-358496,Boots,Mid-Calf,,Padded,Pull-on;Zipper,Women,Felt,Closed Toe
8043210-368039,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Suede,Pointed Toe;Closed Toe
7993973-89,Shoes,Flats,,Leather;Padded,Hook and Loop,Girls,Patent Leather,Moc Toe;Closed Toe
7242934-9,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Canvas,
8057060-382229,Shoes,Oxfords,1in - 1 3/4in,Leather,Lace up,Men,Leather,Almond;Wingtip
